customer,email,pass,category,amount,month,date,year
philo,philo@gmail.com,philo@123,Service,565.11,5,15,2023
philo,philo@gmail.com,philo@123,Loan,214.92,3,12,2023
philo,philo@gmail.com,philo@123,Lifestyle,850.38,7,20,2023
philo,philo@gmail.com,philo@123,Loan,470.73,8,10,2023
philo,philo@gmail.com,philo@123,Loan,599.4,6,6,2023
philo,philo@gmail.com,philo@123,Goods,768.34,7,14,2023
philo,philo@gmail.com,philo@123,Goods,326.72,9,12,2023
philo,philo@gmail.com,philo@123,Healthcare,797.14,12,26,2023
philo,philo@gmail.com,philo@123,Loan,805.97,2,22,2023
philo,philo@gmail.com,philo@123,Food,453.35,2,14,2023
philo,philo@gmail.com,philo@123,Travel,49.38,5,3,2023
philo,philo@gmail.com,philo@123,Lifestyle,32.71,6,16,2023
philo,philo@gmail.com,philo@123,Loan,983.43,8,13,2023
philo,philo@gmail.com,philo@123,Goods,586.55,9,13,2023
philo,philo@gmail.com,philo@123,Goods,272.75,3,24,2023
philo,philo@gmail.com,philo@123,Lifestyle,487.12,7,7,2023
philo,philo@gmail.com,philo@123,Travel,911.01,5,5,2023
philo,philo@gmail.com,philo@123,Goods,684.64,2,24,2023
philo,philo@gmail.com,philo@123,Travel,466.47,12,22,2023
philo,philo@gmail.com,philo@123,Healthcare,203.18,4,17,2023
philo,philo@gmail.com,philo@123,Food,392.53,6,26,2023
philo,philo@gmail.com,philo@123,Goods,744.57,9,19,2023
philo,philo@gmail.com,philo@123,Travel,692.93,4,18,2023
philo,philo@gmail.com,philo@123,Service,693.36,7,6,2023
philo,philo@gmail.com,philo@123,Travel,433.32,8,4,2023
philo,philo@gmail.com,philo@123,Loan,986.73,1,7,2023
philo,philo@gmail.com,philo@123,Lifestyle,970.82,5,2,2023
philo,philo@gmail.com,philo@123,Loan,891.31,4,23,2023
philo,philo@gmail.com,philo@123,Healthcare,780.51,10,12,2023
philo,philo@gmail.com,philo@123,Service,534.14,3,4,2023
philo,philo@gmail.com,philo@123,Goods,193.25,10,8,2023
philo,philo@gmail.com,philo@123,Service,59.07,10,24,2023
philo,philo@gmail.com,philo@123,Lifestyle,980.59,5,23,2023
philo,philo@gmail.com,philo@123,Healthcare,845.31,8,9,2023
philo,philo@gmail.com,philo@123,Food,352.31,8,5,2023
philo,philo@gmail.com,philo@123,Service,491.0,11,13,2023
philo,philo@gmail.com,philo@123,Lifestyle,85.47,3,13,2023
philo,philo@gmail.com,philo@123,Food,453.94,10,23,2023
philo,philo@gmail.com,philo@123,Goods,52.05,10,29,2023
philo,philo@gmail.com,philo@123,Goods,660.5,12,29,2023
philo,philo@gmail.com,philo@123,Goods,490.28,7,6,2023
philo,philo@gmail.com,philo@123,Travel,541.57,10,29,2023
philo,philo@gmail.com,philo@123,Lifestyle,36.32,6,22,2023
philo,philo@gmail.com,philo@123,Loan,838.72,11,12,2023
philo,philo@gmail.com,philo@123,Healthcare,425.92,2,23,2023
philo,philo@gmail.com,philo@123,Lifestyle,210.3,5,25,2023
philo,philo@gmail.com,philo@123,Lifestyle,147.34,6,26,2023
philo,philo@gmail.com,philo@123,Lifestyle,828.74,5,14,2023
philo,philo@gmail.com,philo@123,Service,929.21,2,1,2023
philo,philo@gmail.com,philo@123,Goods,973.65,11,29,2023
philo,philo@gmail.com,philo@123,Loan,64.15,4,17,2023
philo,philo@gmail.com,philo@123,Goods,908.66,9,23,2023
philo,philo@gmail.com,philo@123,Travel,366.63,7,2,2023
philo,philo@gmail.com,philo@123,Healthcare,710.29,10,12,2023
philo,philo@gmail.com,philo@123,Travel,154.17,6,10,2023
philo,philo@gmail.com,philo@123,Food,408.61,6,17,2023
philo,philo@gmail.com,philo@123,Healthcare,702.98,8,26,2023
philo,philo@gmail.com,philo@123,Service,101.26,9,8,2023
philo,philo@gmail.com,philo@123,Loan,554.02,10,8,2023
philo,philo@gmail.com,philo@123,Healthcare,792.6,7,25,2023
philo,philo@gmail.com,philo@123,Food,332.78,1,18,2023
philo,philo@gmail.com,philo@123,Loan,985.42,8,15,2023
philo,philo@gmail.com,philo@123,Service,146.74,6,18,2023
philo,philo@gmail.com,philo@123,Food,106.65,3,22,2023
philo,philo@gmail.com,philo@123,Healthcare,367.13,3,27,2023
philo,philo@gmail.com,philo@123,Service,382.78,6,25,2023
philo,philo@gmail.com,philo@123,Service,327.43,6,19,2023
philo,philo@gmail.com,philo@123,Goods,885.7,5,24,2023
philo,philo@gmail.com,philo@123,Lifestyle,419.43,12,15,2023
philo,philo@gmail.com,philo@123,Travel,703.0,2,20,2023
philo,philo@gmail.com,philo@123,Loan,463.77,4,6,2023
philo,philo@gmail.com,philo@123,Service,341.68,3,3,2023
philo,philo@gmail.com,philo@123,Goods,328.62,7,28,2023
philo,philo@gmail.com,philo@123,Goods,40.84,6,6,2023
philo,philo@gmail.com,philo@123,Food,653.92,12,5,2023
philo,philo@gmail.com,philo@123,Travel,705.62,6,17,2023
philo,philo@gmail.com,philo@123,Service,256.15,10,22,2023
philo,philo@gmail.com,philo@123,Healthcare,525.9,10,7,2023
philo,philo@gmail.com,philo@123,Healthcare,980.06,9,10,2023
philo,philo@gmail.com,philo@123,Food,263.59,12,7,2023
philo,philo@gmail.com,philo@123,Lifestyle,640.76,4,2,2023
philo,philo@gmail.com,philo@123,Healthcare,574.35,2,25,2023
philo,philo@gmail.com,philo@123,Loan,526.96,4,15,2023
philo,philo@gmail.com,philo@123,Service,64.15,6,29,2023
philo,philo@gmail.com,philo@123,Lifestyle,39.47,8,17,2023
philo,philo@gmail.com,philo@123,Travel,569.2,7,16,2023
philo,philo@gmail.com,philo@123,Food,213.04,6,8,2023
philo,philo@gmail.com,philo@123,Goods,557.61,7,19,2023
philo,philo@gmail.com,philo@123,Travel,150.45,4,21,2023
philo,philo@gmail.com,philo@123,Service,830.29,3,4,2023
philo,philo@gmail.com,philo@123,Loan,898.9,4,9,2023
philo,philo@gmail.com,philo@123,Healthcare,972.1,3,29,2023
philo,philo@gmail.com,philo@123,Healthcare,874.74,2,13,2023
philo,philo@gmail.com,philo@123,Travel,258.18,7,23,2023
philo,philo@gmail.com,philo@123,Goods,22.43,4,23,2023
philo,philo@gmail.com,philo@123,Goods,482.81,5,20,2023
philo,philo@gmail.com,philo@123,Travel,201.89,4,9,2023
philo,philo@gmail.com,philo@123,Service,528.19,7,10,2023
philo,philo@gmail.com,philo@123,Healthcare,520.37,2,12,2023
philo,philo@gmail.com,philo@123,Goods,477.42,7,19,2023
philo,philo@gmail.com,philo@123,Goods,443.47,4,15,2023
philo,philo@gmail.com,philo@123,Travel,732.1,6,14,2023
philo,philo@gmail.com,philo@123,Travel,594.3,4,17,2023
philo,philo@gmail.com,philo@123,Food,503.63,7,12,2023
philo,philo@gmail.com,philo@123,Food,619.37,4,28,2023
philo,philo@gmail.com,philo@123,Loan,939.37,3,12,2023
philo,philo@gmail.com,philo@123,Goods,54.77,5,20,2023
philo,philo@gmail.com,philo@123,Goods,14.9,5,29,2023
philo,philo@gmail.com,philo@123,Lifestyle,371.71,1,11,2023
philo,philo@gmail.com,philo@123,Food,708.46,7,6,2023
philo,philo@gmail.com,philo@123,Service,373.08,10,28,2023
philo,philo@gmail.com,philo@123,Travel,250.18,4,17,2023
philo,philo@gmail.com,philo@123,Food,712.79,5,25,2023
philo,philo@gmail.com,philo@123,Lifestyle,121.11,11,8,2023
philo,philo@gmail.com,philo@123,Goods,367.67,4,16,2023
philo,philo@gmail.com,philo@123,Goods,750.13,10,9,2023
philo,philo@gmail.com,philo@123,Healthcare,132.42,10,6,2023
philo,philo@gmail.com,philo@123,Healthcare,471.87,2,29,2023
philo,philo@gmail.com,philo@123,Lifestyle,326.71,9,19,2023
philo,philo@gmail.com,philo@123,Healthcare,135.13,5,22,2023
philo,philo@gmail.com,philo@123,Loan,365.54,2,9,2023
philo,philo@gmail.com,philo@123,Service,524.63,11,22,2023
philo,philo@gmail.com,philo@123,Goods,166.05,6,13,2023
philo,philo@gmail.com,philo@123,Travel,142.86,7,23,2023
philo,philo@gmail.com,philo@123,Service,552.78,11,2,2023
philo,philo@gmail.com,philo@123,Travel,228.07,6,11,2023
philo,philo@gmail.com,philo@123,Goods,633.45,6,13,2023
philo,philo@gmail.com,philo@123,Travel,384.73,9,19,2023
philo,philo@gmail.com,philo@123,Travel,98.38,3,23,2023
philo,philo@gmail.com,philo@123,Lifestyle,181.15,1,4,2023
philo,philo@gmail.com,philo@123,Service,574.64,11,23,2023
philo,philo@gmail.com,philo@123,Service,499.62,4,16,2023
philo,philo@gmail.com,philo@123,Travel,133.6,8,2,2023
philo,philo@gmail.com,philo@123,Service,456.51,4,29,2023
philo,philo@gmail.com,philo@123,Service,42.52,11,4,2023
philo,philo@gmail.com,philo@123,Food,162.28,3,17,2023
philo,philo@gmail.com,philo@123,Food,831.77,8,17,2023
philo,philo@gmail.com,philo@123,Food,241.72,4,17,2023
philo,philo@gmail.com,philo@123,Food,270.35,6,26,2023
philo,philo@gmail.com,philo@123,Service,625.29,7,23,2023
philo,philo@gmail.com,philo@123,Food,469.06,10,26,2023
philo,philo@gmail.com,philo@123,Healthcare,278.44,3,24,2023
